frog,bladder,cooling,large intestine,small intestine,stomach,,,,,
garlic,damp,heart,liver,lung,stagnation,phlegm,spleen,yang,stomach,warming
ginger,heart,large intestine,lung,stagnation,spleen,stomach,warming,,,
gingko,cooling,neutral,,,,,,,,
glutinous rice,qi,warming,,,,,,,,
goat/sheep milk,lung,stomach,warming,yin,,,,,,
goose,lung,neutral,spleen,,,,,,,
gooseberry,liver,,,,,,,,,
grapefruit,lung,spleen,stomach,,,,,,,
green beans,neutral,,,,,,,,,
green peas,neutral,,,,,,,,,
green tea,cooling,damp,,,,,,,,
hairtail fish,blood,,,,,,,,,
ham,spleen,warming,,,,,,,,
hawthorn,heart,spleen,stomach,warming,,,,,,
hawthorn berry,stagnation,,,,,,,,,
hazelnut,spleen,stomach,,,,,,,,
heart,blood,,,,,,,,,
herring,lung,qi,spleen,,,,,,,
honey,cooling,large intestine,lung,spleen,yin,,,,,
hops,calm,,,,,,,,,
horseradish,bladder,damp,lung,spleen,stomach,warming,,,,
jamaican dogwood,calm,,,,,,,,,
jasmine,liver,spleen,stomach,,,,,,,
jasmine tea,damp,,,,,,,,,
jellyfish,neutral,,,,,,,,,
juniper,bladder,large intestine,liver,lung,spleen,,,,,
kale,lung,stomach,,,,,,,,
kamut,heart,spleen,,,,,,,,
kelp,cooling,phlegm,stomach,,,,,,,
kidney,yang,,,,,,,,,
kidney beans,blood,damp,large intestine,neutral,small intestine,spleen,yin,,,
kiwi,bladder,cooling,spleen,stomach,,,,,,
kohlrabi,spleen,stomach,,,,,,,,
korean ginseng,lung,spleen,,,,,,,,
kuzu,large intestine,spleen,stomach,,,,,,,
lamb,spleen,,,,,,,,,
lamb kidney,warming,,,,,,,,,
lamb liver,warming,,,,,,,,,
lavender,calm,,,,,,,,,
leek,liver,lung,spleen,stomach,,,,,,
lemon,damp,gall bladder,liver,lung,neutral,spleen,warming,yin,,
lemon balm,liver,,,,,,,,,
lemon peel,phlegm,,,,,,,,,
lentils,heart,spleen,stomach,,,,,,,
lettuce,calm,cooling,large intestine,stomach,,,,,,
licorice,bladder,gall bladder,heart,large intestine,liver,lung,small intestine,spleen,stomach,
lima bean,liver,lung,,,,,,,,
lime,gall bladder,liver,lung,spleen,warming,,,,,
lime flower,liver,,,,,,,,,
liver,blood,liver,,,,,,,,
loach,neutral,,,,,,,,,
lobster,liver,yang,,,,,,,,
longan,blood,neutral,spleen,,,,,,,
lotus,neutral,,,,,,,,,
lotus seed,qi,,,,,,,,,
lychee,liver,neutral,qi,spleen,stomach,,,,,
mackerel,damp,liver,neutral,qi,stomach,,,,,
malt sugar,lung,spleen,stomach,,,,,,,
mango,cooling,lung,spleen,stomach,yin,,,,,
marjoram,damp,lung,phlegm,spleen,stomach,,,,,
melon,lung,,,,,,,,,
millet,cooling,qi,spleen,stomach,,,,,,
mint,liver,lung,,,,,,,,
miso,spleen,stomach,,,,,,,,
molasses,liver,lung,spleen,stomach,,,,,,
mulberry,calm,liver,lung,spleen,,,,,,
mung bean,cooling,heart,stomach,,,,,,,
mung bean sprout,large intestine,,,,,,,,,
mushroom,cooling,damp,,,,,,,,
mussel,cooling,liver,yin,,,,,,,
mustard,damp,lung,stagnation,phlegm,warming,,,,,
mustard leaf,spleen,lung,stomach,,,,,,,
mutton,qi,stagnation,spleen,yang,,,,,,
nettle,bladder,liver,spleen,,,,,,,
nori,lung,,,,,,,,,
nutmeg,large intestine,spleen,yang,stomach,warming,,,,,
oats,heart,large intestine,lung,qi,spleen,stomach,warming,,,
octopus,neutral,,,,,,,,,
olive,lung,stomach,,,,,,,,
olive oil,liver,spleen,warming,,,,,,,
orange,cooling,liver,lung,phlegm,stomach,warming,,,,
orange peel,stagnation,,,,,,,,,
oregano,bladder,heart,liver,spleen,,,,,,
oyster,cooling,liver,,,,,,,,
papaya,lung,spleen,stomach,warming,,,,,,
parsley,bladder,blood,stomach,,,,,,,
parsnip,liver,lung,spleen,stomach,,,,,,
peach,stagnation,warming,,,,,,,,
